outcome,spec_order,spec,spec_label,sample,key_table,corp_union_coef,corp_union_se,corp_union_p,corp_only_coef,corp_only_se,corp_only_p,added_terms,added_1_term,added_1_coef,added_1_se,added_1_p,added_2_term,added_2_coef,added_2_se,added_2_p,nobs,clusters,formula,attenuation_vs_matched_sample_pct,attenuation_vs_a_pct,attenuation_vs_restricted_baseline_pct
rs,1,b_acquirer,(b) + CU x R-trifecta acquirer,full,True,-0.07185613914511996,0.03646558479817069,0.05481464137765614,0.01818252672243791,0.04479853951937905,0.6867176253150257,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.04535727070510772,0.030624457697994757,0.1454030298143264,,,,,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + C(state) + C(year),,19.535118974855944,19.53511897485712
rs,2,c_contemporaneous,(c) + R trifecta (t),full,True,-0.08303440132997272,0.03574901902509676,0.024672824275412238,0.025205113359724984,0.04523110409979561,0.5800570114789879,R trifecta (t),R trifecta (t),-0.0283370243904122,0.014613476002521362,0.058637164372503665,,,,,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta + C(state) + C(year),,7.017642424167507,7.017642424168863
rs,3,c_lagged,(c-lag) + R trifecta (t-1),full,True,-0.07760871194910693,0.03424819394322363,0.028197096950903913,0.02702448084495344,0.04482650016175528,0.5495571117584057,R trifecta (t-1),R trifecta (t-1),-0.039396456295507226,0.01591782906427864,0.017070190355535437,,,,,799,47,rs ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta_lag + C(state) + C(year),9.75005599165407,13.093357814734848,13.093357814736116
rs,4,d_redmap,(d) + CU x REDMAP,full,True,-0.08471489727292592,0.03830288583884245,0.031993786819767854,0.022979930354708814,0.04626608135255133,0.621772672348651,CU x REDMAP,CU x REDMAP,-0.00993708297734329,0.06131753149469321,0.8719688390111748,,,,,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + cu_x_redmap + C(state) + C(year),,5.1358142641563616,5.135814264157747
rs,5,e_acquirer_redmap,(e) + acquirer and REDMAP,full,True,-0.07547211399697926,0.04400242039420495,0.0930420215241949,0.018037608741876515,0.04476463121894926,0.6888566219262267,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.046727404339502426,0.028086527597150055,0.10297255053069025,CU x REDMAP,0.008976390207692177,0.061383601645327,0.8843753796215693,846,47,rs ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,15.485931393859511,15.485931393860746
rs,10,f_both_no_bans,(f) Acquirer + REDMAP; no ban terms,full,True,,,,,,,CU x R-trifecta acquirer; CU x REDMAP,CU x R-trifecta acquirer,-0.06039371557274052,0.024891906927528056,0.01923483779108311,CU x REDMAP,-0.04907442827268972,0.04830296397096803,0.31495714274379727,846,47,rs ~ cu_x_rep_trifecta_acq + cu_x_redmap + C(state) + C(year),,,
rs,12,g_restricted_contemporaneous,(g) Restricted + R trifecta (t),restricted,True,-0.08495004416995804,0.03582812513315279,0.022911526288933358,,,,R trifecta (t),R trifecta (t),-0.019674987200928397,0.015682510887046912,0.21729269850795016,,,,,702,39,rs ~ cu_x_corp_union + rep_trifecta + C(state) + C(year),,4.872495537068776,4.872495537070166
rs,13,g_restricted_lagged,(g-lag) Restricted + R trifecta (t-1),restricted,True,-0.08003295426352053,0.03409982490964981,0.024236957904799603,,,,R trifecta (t-1),R trifecta (t-1),-0.02800543819163833,0.016665366888786688,0.1010721146787995,,,,,663,39,rs ~ cu_x_corp_union + rep_trifecta_lag + C(state) + C(year),6.930942935353776,10.378678571929218,10.378678571930527
atr_top5,0,a_baseline,(a) Baseline,full,True,-0.5796787010317539,0.25111325349458885,0.02552149438454324,0.1785900920352202,0.2354255603030731,0.4519708090987012,,,,,,,,,,846,47,atr_top5 ~ cu_x_corp_only + cu_x_corp_union + C(state) + C(year),,0.0,1.3789717930076474e-12
atr_top5,1,b_acquirer,(b) + CU x R-trifecta acquirer,full,True,-0.49607548891422687,0.26569400867300713,0.06826890070363688,0.15559920870289284,0.2293547058992327,0.5009032265273664,CU x R-trifecta acquirer,CU x R-trifecta acquirer,-0.21736835150557776,0.2151310640391017,0.3175893247295837,,,,,846,47,atr_top5 ~ cu_x_corp_only + cu_x_corp_union + cu_x_rep_trifecta_acq + C(state) + C(year),,14.422336368185343,14.422336368186524
atr_top5,2,c_contemporaneous,(c) + R trifecta (t),full,True,-0.5571779303873636,0.2566152956019535,0.03510634818015915,0.18657949610459226,0.23272976434368434,0.4268485447920097,R trifecta (t),R trifecta (t),-0.10174261508763313,0.10773233129068506,0.3498985720484348,,,,,846,47,atr_top5 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta + C(state) + C(year),,3.8815934765831095,3.881593476584435
atr_top5,3,c_lagged,(c-lag) + R trifecta (t-1),full,True,-0.5303539215176165,0.24609780518802232,0.03642620101516781,0.1853017525115539,0.22633481126247829,0.41717525912322523,R trifecta (t-1),R trifecta (t-1),-0.15366519074744012,0.10752717142252823,0.15973664944242058,,,,,799,47,atr_top5 ~ cu_x_corp_only + cu_x_corp_union + rep_trifecta_lag + C(state) + C(year),5.80813366584957,8.508985999717703,8.508985999718966
