outcome,year,group,b,se
atr_top5,2006,corp_only,0.08291745762410696,0.10227425716106375
atr_top5,2007,corp_union,0.25125370154359356,0.13233296965178507
atr_top5,2007,corp_only,0.10115695683844539,0.09355879116122306
atr_top5,2008,corp_union,0.15393589580158895,0.09855261007753849
atr_top5,2008,corp_only,0.08401718436049355,0.08007350391399254
atr_top5,2009,corp_union,0.0,0.0
atr_top5,2009,corp_only,0.0,0.0
atr_top5,2010,corp_union,-0.037299662833129354,0.04948387423239528
atr_top5,2010,corp_only,0.0019193240395960487,0.04059780133612353
atr_top5,2011,corp_union,-0.22485324636361398,0.12044580384746569
atr_top5,2011,corp_only,0.07098377961234359,0.15808548605645636
atr_top5,2012,corp_union,-0.2625920949997299,0.13583028660167148
atr_top5,2012,corp_only,0.0819047330986884,0.16674325448607025
atr_top5,2013,corp_union,-0.2396929429214567,0.18844573601785103
atr_top5,2013,corp_only,0.3412308391475391,0.274031270836104
atr_top5,2014,corp_union,-0.3411628590565141,0.23229930927498244
atr_top5,2014,corp_only,0.33791868191735874,0.2724088577950645
atr_top5,2015,corp_union,-0.4045924677839264,0.2605136876059064
atr_top5,2015,corp_only,0.39714566577147403,0.27358565423989245
atr_top5,2016,corp_union,-0.3380433787912399,0.26100414946116546
atr_top5,2016,corp_only,0.46331505193489697,0.2778813210968335
atr_top5,2017,corp_union,-0.43875790548270094,0.2528671712264754
atr_top5,2017,corp_only,0.3757628316712923,0.26751993216148684
atr_top5,2018,corp_union,-0.48612951629237877,0.2589781519025396
atr_top5,2018,corp_only,0.19941925962874607,0.2710894798551009
atr_top5,2019,corp_union,-0.44731476629638933,0.2825635464234199
atr_top5,2019,corp_only,0.21222931755653285,0.28067818372760733
atr_top5,2020,corp_union,-0.500770936332777,0.27413130919144585
atr_top5,2020,corp_only,0.14791339360542177,0.2750413916274074
atr_top5,2021,corp_union,-0.5507939009781844,0.2982522256788815
atr_top5,2021,corp_only,0.17021976353911547,0.28951043067742754
atr,2004,corp_union,0.14329458597607336,0.1471411027620582
atr,2004,corp_only,-0.05275259344993244,0.10149475697072662
atr,2005,corp_union,0.13756365888714298,0.12500433001212746
atr,2005,corp_only,-0.07018759719056201,0.07305905285713482
atr,2006,corp_union,0.15096547707200014,0.11122947412048392
atr,2006,corp_only,-0.017335576128705732,0.056004172138011406
atr,2007,corp_union,0.11159023994377953,0.08039478044542607
atr,2007,corp_only,0.002957352105429578,0.048854157965191415
atr,2008,corp_union,0.07511144714944984,0.04896788503149447
atr,2008,corp_only,0.021221176975755984,0.036667344728007666
atr,2009,corp_union,0.0,0.0
atr,2009,corp_only,0.0,0.0
atr,2010,corp_union,-0.03107694158294183,0.023659249718829312
atr,2010,corp_only,-0.0017640142276511561,0.016065372144094144
atr,2011,corp_union,-0.18617987484588575,0.09033652822655469
atr,2011,corp_only,-0.008980811678698686,0.08374978897740125
atr,2012,corp_union,-0.20884655713778566,0.09934198121935427
atr,2012,corp_only,0.012526964069200286,0.08676761277273355
atr,2013,corp_union,-0.19813737853411872,0.12825347357282854
atr,2013,corp_only,0.13803375662902356,0.13655890849286667
atr,2014,corp_union,-0.25176632949024225,0.15051933800633516
atr,2014,corp_only,0.127384694839761,0.1342026631021708
atr,2015,corp_union,-0.24908126072387765,0.16179200603779711
atr,2015,corp_only,0.19568962961623448,0.12418627185332767
atr,2016,corp_union,-0.21881794816048616,0.16793923379810385
atr,2016,corp_only,0.23242881136119098,0.13317630393892874
atr,2017,corp_union,-0.3050523963560087,0.17073832583763565
atr,2017,corp_only,0.18601896906565663,0.13007218686950803
atr,2018,corp_union,-0.2941614620369887,0.1790944949675623
atr,2018,corp_only,0.1754726068836514,0.14000204403141947
atr,2019,corp_union,-0.28739112535613554,0.19798507053047235
atr,2019,corp_only,0.15756240930419363,0.14821773610183303
atr,2020,corp_union,-0.3406173147655942,0.19307729392389392
atr,2020,corp_only,0.11545882549597852,0.13489810107235065
atr,2021,corp_union,-0.4156081601517828,0.20901733687084248
atr,2021,corp_only,0.12651092026122282,0.14059169473465075
