state,year,atr,atr_top5,atr_top1,atr_top5nw,atr_top1nw,rs,beta
OK,2011,3.9285441014070654,5.072920907225354,5.161993880630375,5.010302079446357,5.130637538837605,0.6765023646301493,5.844702719077265
OK,2012,3.776476803123249,4.858727001522588,4.941111745211836,4.799473513037092,4.911850483728518,0.6419421744690124,5.62393262668041
OK,2013,3.807679048168441,4.935927198938336,5.060141063384564,4.881035673384227,5.025099979007605,0.6520975546828844,5.660585984485675
OK,2014,3.8188411340315387,4.937880322211452,5.060851798618552,4.883605344394152,5.02632199733254,0.6482493192485062,5.648053882699375
OK,2015,3.8117363914689983,4.937022557258671,5.060448538385165,4.882371585617269,5.025728873910465,0.650908207323353,5.652540106868465
OK,2016,3.7123303897153934,4.819007299796756,4.955236416585634,4.766496431235515,4.908704520712412,0.6104013212322568,5.0658010752497304
OK,2017,3.732843138445881,4.823979093333201,4.9561548497453165,4.771801112459784,4.911498921655641,0.6037767930262006,5.048403074233663
OK,2018,3.7218922499162597,4.786218149132866,4.917860318786207,4.737334903361695,4.8833474415643865,0.5983009312749976,5.001522008574875
OK,2019,3.7422150349073218,4.789975705004004,4.919300539232897,4.7419680593489435,4.885567829979474,0.5918645125904676,4.981935806301176
OK,2020,3.7555677584842884,4.79248810048859,4.920267595446464,4.745124184536101,4.887058651237307,0.5874937536664016,4.972000202139271
OK,2021,3.787173547536309,4.801704145085684,4.923826127025122,4.756099301993733,4.892503569198664,0.5806581698081681,4.9473826907205645
OR,2004,7.244798019835504,8.649666003735517,8.830062769048375,8.595775828516492,8.766209373137745,0.7976268070457371,6.935410369375654
OR,2005,7.2559024958840395,8.653035274806161,8.831731464204232,8.598468627426856,8.76811334030367,0.7856850154512207,6.8871548369460776
OR,2006,7.2188021750740266,8.61810898259443,8.77503599153267,8.559146307964978,8.709022299934604,0.7903738953900286,7.163919946949207
OR,2007,7.228694251167378,8.657236842744059,8.7999578324339,8.592116686887104,8.732357466140304,0.7897894943870387,7.147053788940137
OR,2008,7.6175501354784405,9.615296117290137,10.246038972017871,9.584621378664014,10.09518094063313,0.9164425437849011,7.675268997647368
OR,2009,7.544314452593856,9.604844405666343,10.244830342824715,9.575232408683851,10.092236513413551,0.9475128863783988,7.809720493817235
OR,2010,7.540384314755378,9.551697504055634,10.157074021417245,9.518150664924594,10.010357007498824,0.932302022382403,7.743295049590416
OR,2011,7.361472696031964,9.035522635974198,9.34610934773086,8.977476138511609,9.24704660631464,0.8494053090082443,7.4061219542374355
OR,2012,7.363875857335018,9.04356173086653,9.349219564523441,8.983537307818198,9.250435259534877,0.8490731010003194,7.397062000201911
OR,2013,7.441647911386168,9.24909915141025,9.594037097976454,9.176703724343469,9.485749864983614,0.8834804829340182,7.534408169037707
OR,2014,7.431601657554566,9.25504656162931,9.595984766994333,9.181146959108228,9.487838845490925,0.896197937493548,7.702305333410151
OR,2015,7.419723197326754,9.254365673360578,9.59577379159148,9.179992012780007,9.487232224871525,0.9006250009191197,7.725136294716857
OR,2016,7.436462765881982,9.26107438599128,9.598120898765883,9.18581638247896,9.490936181258839,0.8958512011577269,7.678970705859387
OR,2017,7.459010316252672,9.272417446427447,9.601921234449636,9.195787473797198,9.495209890616497,0.8895891361449637,7.63589642039881
OR,2018,7.560265356440873,9.387365414973411,9.699465758708111,9.32335178898734,9.64411949293241,0.8849031925293405,7.650621611170607
OR,2019,6.1673297783020455,7.781238688629225,8.035751000644876,7.722041747040546,7.989014773723803,0.7828122119784231,6.9290937693803585
OR,2020,7.472669280531102,9.304158069767917,9.66502800956055,9.24334901975929,9.601126196520363,0.8694710887494184,7.66360596401621
OR,2021,7.527045233023302,9.332294184142821,9.674768761531736,9.267001425762325,9.614202072557582,0.8589879422344016,7.6478049261219665
PA,2004,2.6785751066864396,2.977651136008101,3.0496766916129356,2.937804410251582,3.0588925673048877,0.22067141583290706,2.1228067371831734
PA,2005,2.6856256637613547,2.9775485909008754,3.049617591765837,2.937954368252998,3.0588060098699907,0.2152819705284248,2.0798403212458183
PA,2006,2.690711558366598,2.9776812540904367,3.049546754400188,2.938101422919926,3.058838257994627,0.21105001063290718,2.0486458112074186
PA,2007,2.695669036970543,2.977689577065762,3.049537722544134,2.938164384673107,3.058838618540886,0.20684435708249183,2.0164364293283468
PA,2008,2.703379600851736,2.9776699808004325,3.0495218004339066,2.9381372110477497,3.0587745726854885,0.20119065234790456,1.981172431863429
PA,2009,2.702785564663459,2.97804457487408,3.049671052813656,2.938544084470923,3.0590563844854515,0.2017909361930026,1.9851809711256347
PA,2010,2.7062347730483047,2.9778779803307165,3.049598260530509,2.9383440449385176,3.058930490622519,0.19939252841520982,1.9678503364932216
PA,2011,2.7127946237815967,2.9784533752462394,3.0501383714373085,2.939033174254326,3.0593848518516626,0.1946289203350604,1.9358592975731361
PA,2012,2.717001573212031,2.978477626334311,3.050139708454974,2.93904745201357,3.059395374276424,0.19135806280249357,1.915410862521294
PA,2013,2.719210233828136,2.9776628582399547,3.0494851991069205,2.9380675056037444,3.058748062861289,0.1887820081800773,1.8985980115538472
PA,2014,2.7224545870561108,2.9777260869564635,3.0495003358137995,2.938122922524336,3.0587965016985685,0.18612275820347746,1.8795973695328803
PA,2015,2.722726010166748,2.9778074230614395,3.049532319966155,2.9382099684226093,3.0588569819156297,0.18595027551832066,1.878303222630206
PA,2016,2.724757047745347,2.977684039182507,3.049477701445238,2.938067383542258,3.0587620631335923,0.18403681759466828,1.8649448718134678
PA,2017,2.7281494602609357,2.978043975743426,3.0496055849946817,2.9384146492460776,3.059008450728215,0.1812180186277712,1.8442513337020285
PA,2018,2.731354972427559,2.977839203625529,3.049516858084105,2.938182720801039,3.0588606730047116,0.17819413537292217,1.8199299017281199
PA,2019,2.733701784198097,2.9779541238232965,3.049553582213163,2.9382837887426563,3.0589339179547737,0.1762375931664617,1.8038411636524516
PA,2020,2.735332406591777,2.9781382552903555,3.0496164741367973,2.938443746631605,3.059054426702894,0.17491820045100193,1.7940481496309233
PA,2021,2.7414760825990316,2.978064766148977,3.0495223902611177,2.9382130609360066,3.0589044167973145,0.1694882447192736,1.7577917360957078
RI,2004,4.780461498633085,7.544227037495467,8.297975260533073,7.465797846388909,7.997941503404557,1.0186601300456566,6.011216962564697
RI,2005,4.792002554292087,7.557947222830366,8.304039315131405,7.478135932497594,8.004845735814284,1.0257806251142143,6.12949964370607
RI,2006,4.67820960902579,7.240973205985095,7.759489305092188,7.149442261882708,7.4828356146203046,0.98132642061588,6.047753691533515
RI,2007,4.586217488845924,7.006485137744666,7.33963735645477,6.901489209855429,7.15364092854088,0.9466151347215401,5.9156103233790205
RI,2008,4.498699774838265,6.698530198004412,6.8848915153260215,6.586562186619163,6.76586331507539,0.8964087902236129,5.733786101555052
RI,2009,4.2922278308518145,6.32771209746829,6.4229975573784355,6.207108053037208,6.343543961124407,0.8574468914175348,5.548124743207648
RI,2010,4.196601020221131,5.96856328457596,5.999999995469655,5.8587362440921,5.977513664274202,0.7993375548701609,5.342613650627827
RI,2011,3.6953205018135664,5.607949546938207,5.838052338952865,5.496077737905111,5.780316499654311,0.7391199419106265,4.79194009734694
RI,2012,3.6704302358627805,5.601094668098887,5.835327234388999,5.48669612398142,5.776431208206888,0.7413578093658946,4.791725628169991
RI,2013,3.6534849812732135,5.596856148173135,5.833632275515697,5.481007077152622,5.77374055562147,0.7426295759530244,4.791073537913096
RI,2014,3.65444585551817,5.5965909779072955,5.83352936773229,5.4807834790248835,5.773637746300108,0.7420823000926169,4.787659157215972
RI,2015,3.612327365995019,5.590884134684968,5.831262242587241,5.4727549355301415,5.77037872948491,0.7716051306804306,5.349180369861335
RI,2016,3.609056173351033,5.593952665110323,5.832478970312209,5.476865407771321,5.7721175318688545,0.7849830557953741,5.569070478337364
RI,2017,3.524848327273882,5.599139483410331,5.834554151787586,5.474238281111463,5.77417132269274,0.8509768295017706,5.926542513962954
RI,2018,3.533130610955432,5.600888717004227,5.8352437406119,5.4765347177317905,5.775132377289681,0.8497501414490793,5.925192700274785
RI,2019,3.523690626999704,5.59860854531807,5.834341012595434,5.47360782412729,5.773879496029469,0.8496568504427704,5.9203558219234536
RI,2020,3.5181586402417313,5.595946526366373,5.833288753071635,5.470254511569334,5.772174710789639,0.8496283327811716,5.919171020625678
RI,2021,3.55965535295156,5.608534702085725,5.838289594946762,5.487056715489074,5.779568239046584,0.8505557796224306,6.1369378052708345
SC,2004,4.587446113219037,6.319868062411092,6.423899343408828,6.168424103470906,6.2410830135602335,0.8547773644179357,5.654192341308793
